New-InputBox.ps1               New-InputBox.ps1 ...                                                                                                                                 
New-Popup                      New-Popup will display a popup message                                                                                                               
New-QR                         Create New Quick Response Code                                                                                                                       
New-QR2                        Create New Quick Response Code                                                                                                                       
New-ScreenShot                 ...                                                                                                                                                  
New-Shortcut                   This script is used to create a  shortcut.                                                                                                           
Out-IniFile                    Write hash content to INI file                                                                                                                       
Out-IniFile0                   Write hash content to INI file                                                                                                                       
Out-Notepad                    ...                                                                                                                                                  
Parse22                        To parse from a given computername and split it into the pieces that make it up                                                                      
Parse33                        To parse from a given computername and split it into the pieces that make it up                                                                      
Parse-Bool                     ...                                                                                                                                                  
Parse-ComputerName             To parse from a given computername and split it into the pieces that make it up                                                                      
Parse-IniFile                  ...                                                                                                                                                  
Ping-ComputerName              To test whether a particular computer is reachable on the network                                                                                    
Read-HostSecret                ...                                                                                                                                                  
Remove-BomFromFile             ...                                                                                                                                                  
Remove-EmptyProperty           ...                                                                                                                                                  
Remove-InvalidFileNameChar     Removes characters from a string that are not valid in Windows file names.                                                                           
Remove-ISETheme                Deletes an ISE theme from the ISE.                                                                                                                   
Resolve-FQDN                   Resolves a hostname or IPv4 address to a fully qualified domain name                                                                                 
Resolve-HostName               Resolves a hostname to an IPv4 address.                                                                                                              
Search-Constructor             ...                                                                                                                                                  
Search-Method                  ...                                                                                                                                                  
Select-ISETheme                ...                                                                                                                                                  
Set-Variable                   Sets the value of a variable. Creates the variable if one with the requested name does not exist.                                                    
Set-Capslock                   Sets the state of the CapsLock button. If you pass $true to function it will turn on CapsLock.                                                       
Set-DisplayOff                 ...                                                                                                                                                  
Set-DisplayOn                  ...                                                                                                                                                  
Set-ISEColor                   Changes ISE Theme colors according to switch                                                                                                         
Set-ISETheme                   Applies ISE theme to current session.                                                                                                                
Set-Numlock                    Sets the state of the NumLock button. If you pass $true to function it will turn on NumLock.                                                         
Set-PrivateProfileString       ...                                                                                                                                                  
Set-Scrolllock                 Sets the state of the ScrollLock button. If you pass $true to function it will turn on ScrollLock.                                                   
Set-Speaker                    Sets the speaker volume.                                                                                                                             
Show-AllColor                  ...                                                                                                                                                  
Show-Calendar                  Displays a visual representation of a calendar.                                                                                                      
Show-Color                     ...                                                                                                                                                  
Show-ColorsWithBackground      ...                                                                                                                                                  
Show-DaysOfWeek                ...                                                                                                                                                  
Show-FileAttribute             ...                                                                                                                                                  
Show-FsRight                   To list all potential file system rights                                                                                                             
Show-InvalidFileCharacter      ...                                                                                                                                                  
Show-Month                     ...                                                                                                                                                  
Show-NamedColor                ...                                                                                                                                                  
Show-Object                    Provides a graphical interface to let you explore and navigate an object.                                                                            
Show-RegistryDataType          ...                                                                                                                                                  
Show-ShortDaysOfWeek           ...                                                                                                                                                  
Show-ShortMonth                ...                                                                                                                                                  
Show-SpecialFolder             ...                                                                                                                                                  
Show-SubnetMaskIPv4            ...                                                                                                                                                  
Show-Timezone                  ...                                                                                                                                                  
Show-TypeAccelerator           ...                                                                                                                                                  
Split-ComputerName             To parse from a given computername and split it into the pieces that make it up                                                                      
Start-RecordSession            ...                                                                                                                                                  
Start-StopwatchCommand         ...                                                                                                                                                  
Stop-RecordSession             ...                                                                                                                                                  
Switch-Mute                    ...                                                                                                                                                  
Test-IsAdmin                   Determines if you are running elevated (as Administrator)                                                                                            
Test-IsCapsLock                Determines if the CapsLock key is on or not                                                                                                          
Test-IsDate                    Tests to see if the specified string is a valid [datetime] string                                                                                    
Test-IsHexString               Tests to determine if a string is a valid hexadecimal number. Can optionally include a prefix of '0x' or '#'                                         
Test-IsNumeric                 Determines if specified string can be parsed to a number                                                                                             
Test-IsNumLock                 ...                                                                                                                                                  
Test-IsScrollLock              Sets the state of the ScrollLock button. If you pass $true to function it will turn on...                                                            
Test-IsValidEmailAddress       Tests validity if specified string is an email address.                                                                                              
Test-IsValidIPv4               Verifies if passed parameter is a valid IP v4 address                                                                                                
Test-NtpDateVsNow              To test whether local time and NTP time fall within a particular tolerance                                                                           
Test-Port                      Tests a Port or a range of ports on a specific ComputerName(s).                                                                                      
Update-ExplorerIcon            ...                                                                                                                                                  
FileSizeAbove                  ...                                                                                                                                                  
FileSizeBelow                  ...                                                                                                                                                  
grep                           ...                                                                                                                                                  
Out-Clipboard                  ...                                                                                                                                                  
Remove-BlankOrComment          ...                                                                                                                                                  
Remove-QuotesFromCsv           ...                                                                                                                                                  
Remove-QuotesFromTsv           ...                                                                                                                                                  
sed                            ...                                                                                                                                                  
Set-Type                       Sets the data type of a property given the property name and the data type.                                                                          


