"ComputerName","IPAddress","Result"
"MDAPMACM1.MDATURBINES.COM","10.170.10.23","Success"
"MDAPNYCM1.MDATURBINES.COM","10.160.10.28","Success"
"MDAPNYVEEAM1.MDATURBINES.COM","10.160.10.13","Success"
"MDAPOHDNC.MDATURBINES.COM","10.180.65.45","Success"
"MDAPOHECM1.MDATURBINES.COM","10.180.10.21","Success"
"MDAPRINT.MDATURBINES.com","10.100.10.181","Success"
"MDAPRINT2.MDATURBINES.COM","10.100.10.182","Success"
"MDAPS1.MDATURBINES.COM","10.100.10.4","Success"
"MDARPMDC1.MDATURBINES.COM","10.140.10.20","Success"
"MDARPMDC1.MDATURBINES.COM","10.140.10.20","Success"
"MDARPRADPT1.MDATURBINES.COM","10.150.10.21","Success"
"MDARPRCM1.MDATURBINES.COM","10.150.10.22","Success"
"MDARPRDC1.MDATURBINES.COM","10.150.10.20","Success"
"MDARPRDC1.MDATURBINES.COM","10.150.10.20","Success"
"MDARPRVEEAM1.MDATURBINES.COM","10.150.10.23","Success"
"MDASCCM.MDATURBINES.COM","192.168.1.71","Success"
"mdasccmtools.MDATURBINES.COM","10.100.10.204","Success"
"MDASF1.MDATURBINES.COM","192.168.1.18","Success"
"MDASF2.MDATURBINES.COM","192.168.1.19","Success"
"MDASLX8.MDATURBINES.com","192.168.1.104","Success"
"MDASLX8JOB.MDATURBINES.COM","10.100.10.61","Success"
"MDASLX8JOBTST.MDATURBINES.COM","10.100.10.62","Success"
"MDASLX8TST.MDATURBINES.com","192.168.1.33","Success"
"MDASQL12N1.MDATURBINES.COM","192.168.1.101","Success"
"MDASQL12N2.MDATURBINES.COM","192.168.1.102","Success"
"MDASQL14VER.MDATURBINES.COM","10.100.10.63","Success"
"MDASQL16.MDATURBINES.com","192.168.1.115","Success"
"MDASQL16N1.MDATURBINES.COM","192.168.1.112","Success"
"MDASQL16N2.MDATURBINES.COM","192.168.1.113","Success"
"MDASQL16VER.MDATURBINES.COM","10.100.10.58","Success"
"MDASQL17STG.MDATURBINES.COM","10.100.10.85","Success"
"MDASQLRPT.MDATURBINES.COM","10.100.10.46","Success"
"MDASQLRPTTST.MDATURBINES.COM","10.100.10.202","Success"
"MDASSCCM1.MDATURBINES.COM","10.200.10.22","Success"
"mdasscdc1.mdaturbines.com","10.200.10.20","Success"
"mdasscdc1.mdaturbines.com","10.200.10.20","Success"
"MDASSCFPS1.MDATURBINES.COM","10.200.10.21","Success"
"MDASSCFPS2.MDATURBINES.COM","10.100.10.12","Success"
"MDASSCVEEAM1.MDATURBINES.COM","10.200.10.23","Success"
"MDASYNC.MDATURBINES.COM","192.168.1.12","Success"
"MDATFS1.MDATURBINES.com","10.100.10.217","Success"
"MDATPMADC1.MDATURBINES.COM","10.170.10.20","Success"
"MDATPMADC1.MDATURBINES.COM","10.170.10.20","Success"
"mdatpmadc2.MDATURBINES.COM","10.170.10.101","Success"
"mdatpmadc2.MDATURBINES.COM","10.170.10.101","Success"
"MDATPMADNC.MDATURBINES.COM","192.168.19.22","Success"
"MDATPMAEDGE.MDATURBINES.COM","10.170.10.21","Success"
"mdatpmaveeam1.MDATURBINES.COM","10.170.10.102","Success"
"MDATPNYDC1.MDATURBINES.COM","10.160.10.20","Success"
"MDATPNYDC1.MDATURBINES.COM","10.160.10.20","Success"
"MDATPNYPLM8.MDATURBINES.COM","10.160.10.21","Success"
"MDATPOHDC1.MDATURBINES.COM","10.180.10.20","Success"
"MDATPOHDC1.MDATURBINES.COM","10.180.10.20","Success"
"mdatpohdc2.MDATURBINES.COM","10.180.10.101","Success"
"mdatpohdc2.MDATURBINES.COM","10.180.10.101","Success"
"mdatpohveeam1.MDATURBINES.COM","10.180.10.102","Success"
"MDAVEEAMONE.MDATURBINES.COM","10.100.10.16","Success"
"MDAVRCT01.MDATURBINES.COM","192.168.1.70","Success"
"MDAWDM2.MDATURBINES.COM","192.168.1.9","Success"
"MDAWEBAPP1.MDATURBINES.COM","10.100.10.60","Success"
"SQL2012.MDATURBINES.com","192.168.1.100","Success"
"SQL2016.MDATURBINES.com","192.168.1.114","Success"
"TESTSVR.MDATURBINES.COM","10.100.10.226","Success"
"XEN7MCSE102A1.MDATURBINES.com","10.100.10.220","Success"
"XEN7MCSE102A2.MDATURBINES.com","10.100.10.223","Success"
"XEN7MCSE102B1.MDATURBINES.com","10.100.10.224","Success"
"XEN7MCSE102B2.MDATURBINES.com","10.100.10.225","Success"
